stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
GOOG,2017-12-31,110855000000,45583000000,65272000000,81941000000,19733000000.0,28914000000,28914000000,27193000000.0,14531000000,12662000000
GOOG,2016-12-31,90272000000,35138000000,55134000000,66556000000,17470000000.0,23716000000,23716000000,24150000000.0,4672000000,19478000000
DAN,2019-12-31,8620000000,7493000000,1127000000,8019000000,531000000.0,601000000,601000000,201000000.0,-32000000,226000000
DAN,2018-12-31,8143000000,6986000000,1157000000,7508000000,514000000.0,635000000,635000000,518000000.0,78000000,427000000
DAN,2017-12-31,7209000000,6129000000,1080000000,6655000000,515000000.0,554000000,554000000,399000000.0,283000000,111000000
DAN,2016-12-31,5826000000,4991000000,835000000,5396000000,397000000.0,430000000,430000000,229000000.0,-424000000,640000000
MGNX,2019-12-31,64188000,195309000,-131121000,241373000,46064000.0,-177185000,-177185000,-151811000.0,0,-151811000
MGNX,2018-12-31,60121000,190827000,-130706000,231327000,40500000.0,-171206000,-171206000,-171453000.0,0,-171453000
MGNX,2017-12-31,157742000,147232000,10510000,179885000,32653000.0,-22143000,-22143000,-19626000.0,0,-19626000
MGNX,2016-12-31,91880000,122091000,-30211000,151922000,29831000.0,-60042000,-60042000,-58528000.0,0,-58528000
PERI,2019-12-31,261450000,161411000,100039000,243442000,49735000.0,18008000,18008000,14538000.0,1645000,12893000
PERI,2018-12-31,252845000,152108000,100737000,236079000,55368000.0,16766000,16766000,10897000.0,2776000,8121000
PERI,2017-12-31,273986000,155544000,118442000,263977000,74653000.0,10009000,10009000,-81580000.0,-8826000,-72754000
PERI,2016-12-31,312794000,166134000,146660000,300718000,83386000.0,12076000,12076000,3060000.0,212000,201000
AMSF,2019-12-31,370370000,227333000,143037000,254853000,27520000.0,115517000,115517000,115517000.0,22827000,92690000
AMSF,2018-12-31,377753000,263680000,114073000,290172000,26492000.0,87581000,87581000,87581000.0,15949000,71632000
AMSF,2017-12-31,375208000,266837000,108371000,292968000,26131000.0,82240000,82240000,82240000.0,36009000,46231000
AMSF,2016-12-31,396662000,258260000,138402000,283841000,25581000.0,112821000,112821000,112821000.0,34956000,77865000
OVV,2019-12-31,7013000000,3477000000,3536000000,6284000000,394000000.0,729000000,729000000,315000000.0,81000000,234000000
OVV,2018-12-31,5457000000,2784000000,2673000000,3763000000,90000000.0,1694000000,1694000000,1163000000.0,94000000,1069000000
OVV,2017-12-31,3892000000,2251000000,1641000000,2818000000,179000000.0,1074000000,1074000000,1430000000.0,603000000,827000000
OVV,2016-12-31,3122000000,2184000000,938000000,3573000000,204000000.0,-451000000,-451000000,-1620000000.0,-676000000,-944000000
FSB,2019-12-31,96888000,0,96888000,79532000,69427000.0,17356000,0,15009000.0,187000,14806000
FSB,2018-12-31,113911000,0,113911000,68853000,60970000.0,45058000,0,40433000.0,5912000,34505000
FSB,2017-12-31,107454000,0,107454000,56671000,48871000.0,50783000,0,46630000.0,18531000,28083000
FSB,2016-12-31,91484000,0,91484000,49613000,41964000.0,41871000,0,39803000.0,11746000,28057000
ASH,2019-09-30,2493000000,1679000000,814000000,2234000000,493000000.0,259000000,259000000,70000000.0,46000000,505000000
ASH,2018-09-30,2589000000,1721000000,868000000,2365000000,580000000.0,224000000,224000000,11000000.0,-8000000,114000000
ASH,2017-09-30,2309000000,1554000000,755000000,2150000000,527000000.0,159000000,159000000,-196000000.0,-16000000,1000000
ASH,2016-09-30,3019000000,2129000000,890000000,2883000000,674000000.0,136000000,136000000,-308000000.0,-25000000,-29000000
FRBA,2019-12-31,58377000,0,58377000,35179000,32189000.0,23198000,0,19013000.0,5568000,13445000
FRBA,2018-12-31,54949000,0,54949000,31525000,28911000.0,23424000,0,21635000.0,4046000,17589000
FRBA,2017-12-31,39104000,0,39104000,21534000,20128000.0,17570000,0,14420000.0,7427000,6993000
FRBA,2016-12-31,27836000,0,27836000,17229000,16081000.0,10607000,0,9504000.0,3098000,6406000
PMBC,2019-12-31,45994000,0,45994000,37683000,35062000.0,8311000,0,7815000.0,2135000,5680000
PMBC,2018-12-31,53557000,0,53557000,35920000,33282000.0,17637000,0,16587000.0,-10752000,27339000
PMBC,2017-12-31,48116000,0,48116000,36685000,33913000.0,11431000,0,10358000.0,-91000,10449000
PMBC,2016-12-31,18590000,0,18590000,35521000,33083000.0,-16931000,0,-17811000.0,16832000,-34643000
LAZY,2019-12-31,644912000,512733000,132179000,631919000,108373000.0,12993000,12993000,1811000.0,1097000,714000
LAZY,2018-12-31,608194000,476528000,131666000,591526000,105582000.0,16668000,16668000,2752000.0,3036000,-284000
LAZY,2017-12-31,614838000,487701000,127137000,590484000,96753000.0,24354000,24354000,13387000.0,5085000,8302000
GIL,2019-12-29,2823901000,2060240000,763661000,2428379000,340487000.0,395522000,395522000,249825000.0,-9984000,259809000
